lokalizacja,opis,cena,do_wynajecia_przez,wspoldzielenie,wielkosc,liczba_pokoi,rodzaj_nieruchomosci,preferowana_plec,palacy,przyjazne_zwierzakom,liczba_wyrazow
"Kraków, Małopolskie",Pokój jednoosobowy do wynajęcia z dostępem do kuchni łazienki w mieszkaniu trzypokojowym,600,Właściciel,Współdzielenie mieszkania/domu,50,3 pokoje,Mieszkanie,Bez preferencji,Tak,Tak,12
"Kraków, Małopolskie","Mieszkanie:budynek dwupiętrowy;mieszkanie ulokowane na drugim piętrze;powierzchnia mieszkania 69m^2składa się z trzech pokoi dwuosobowych;W skład wchodzi ogródek i parking, z którego mogą korzystać lokatorzy;W pokoju mieszka student, dlatego preferowaną płcią jest płeć męska;Lokalizacja:ul. Żmujdzka5 min spacerem przystanek Opolska Estakada (połączenie z centrum)oraz Impramowska.spokojna okolica;w okolicy Biedronka, mały targ, oraz wiele innych sklepików i piekarni.Opłaty:czynsz 480zł/mies na osobę;WSZYSTKIE MEDIA, łącznie z siecią internetową wliczone są w opłaty;Czynsz za wakacje wynosi 240 zł za osobę  + media wg zużycia(ok 50zł/os;Zainteresowanych zapraszam do kontaktu poprzez Gumtree lub numer tel. 733600108",480,Właściciel,Współdzielenie pokoju,69,3 pokoje,Mieszkanie,Mężczyzna,Tak,Tak,99
"Kraków, Małopolskie","Do wynajęcia pokój 1-osobowy w trzypokojowym mieszkaniu przy ulicy Bronowickiej (niepodal przystanku wesele).

Koszt ok 750 zł (pokój 530 + 125 czynsz administacyjny/osb. + gaz i prąd około 50 zł/osb. (zależy od zużycia) + internet 23 zł/osb.). 
Wynajmiemy spokojnej osobie, w razie pytań proszę dzwonić.",750,Właściciel,Współdzielenie mieszkania/domu,44,3 pokoje,Mieszkanie,Bez preferencji,Nie,Tak,46
"Kraków, Małopolskie","Pokoj umeblowany z internetem (na zyczenie mozliwe TV) w Krakowie na ul. Ułanów kolo Zespolow Szkol .1 km od Areny Tauron, AWF - jesli ktos pali papierosy to mozna palic na korytarzu na pietrze.Pokoj jednoosobowy dla jednej osoby w mieszkaniu w ktorym mieszka malzenstwo . Do ceny pokoju mozna dostac codziennie Pyszny OBIAD (150 zl za miesiac)Mieszkanie jest usytuowane w bloku 10 pietrowym w ktorym jest nowa winda.          Tel. 509 90 75 31",700,Właściciel,Współdzielenie mieszkania/domu,65,3 pokoje,Mieszkanie,Bez preferencji,Nie,Nie,72
"Kraków, Małopolskie","Do wynajęcia pokój w ekstra lokalizacji - TESCO KAPELANKA!
doskonała komunikacja, tramwaje. Kampus UJ!
Oferuję na wynajem jednoosobowy pokój
w czteropokojowym i czteroosobowym mieszkaniu przy Lipińskiego 20. 1 piętro.
Mieszkanie nowiutkie po remoncie z nowymi meblami, łazienką i osobnym WC.
Każdy pokój zamykany na klucz.
W pełni wyposażone w meble, kuchnię z przyborami, lodówka, piekarnik, kuchenka z płytą ceramiczną, pralka, nowa kabina prysznicowa.
Pokoje umeblowane, łóżko, biurko, krzesło, szafa, komoda itp.
Pokój dostępny od zaraz.
Cena 740 + media stała stawka 170zł, razem całkowity koszt 910zł.Internet UPC w cenie. Kaucja zwrotna 960zł. Umowa na rok do końca września.Ogrzewanie miejskie.
Polecam, Michał tel. 791 717 993",740,Właściciel,Współdzielenie mieszkania/domu,57,4 pokoje,Mieszkanie,Bez preferencji,Nie,Nie,103
"Kraków, Małopolskie","Do wynajęcia pokój jednoosobowy! Bez pośredników. Świetna lokalizacja: ul. Miechowity 21, KrakówCena 720 zł +160 zł media (stała stawka niezależna od zużycia, łącznie z internetem - razem 880zł) Pokój jednoosobowy (8m2) w trzypokojowym mieszkaniu (bezwłaścicieli) o powierzchni 50 m2 w bardzo dobrze skomunikowanej lokalizacji ul. Miechowity 21 - centrum (lokalizacja między alejami 29 listopada a ul. Pilotów).Mieszkanie na 4 piętrze w bloku w bardzo dobrym stanie technicznym.Mieszkanie zamieszkiwać będą 4 osoby w trzech pokojach (każdypokój zamykany na klucz).Mieszkanie składa się z trzech przestronnych pokoi, przedpokoju, sporej kuchni ze stołem i łazienki.Bardzo dobrze skomunikowane miejsce, bardzo dużo linii autobusowychzaraz obok mieszkania, Przystanki autobusowe, linie:125  128  129  152  159  182  184 352  482  501  601  608  61 Rewelacyjne miejsce dla pracujących czy studentów UR, UEK, Politechniki i AWF:Uniwersytet Roliniczy 3 przystanki (5 min.)Uniwersytet Ekonomiczny 5 przystanków (9 min.)Politechnika Krakowska – 6 przystanków (10 min.)AWF – 5 przystanków (11 min.)WSEI - 9 przystanków (20 min.)Krakowska Akademia 9 przystanków (18-20 min.)WSZiB - 11 przystanków (20 min.)AGH, UJ - 11 przystanków (20-25 min.)Oczywiście tuż obok sklepy wielobranżowe, bezpośredniesąsiedztwo parku, Castorama, Alma, McDonalds, po prostu świetna lokalizacja z bardzo dobrzerozwiniętą infrastrukturą. Sprawdź dojazd do tego miejsca na POŁĄCZENIA MPK KRAKÓW, lub najakdodade.pl Przystanek nazywa się Miechowity.Mieszkanie świeżo po remoncie : jasne, świeże i czyste , ciepłe, umeblowane. Bardzo jasne! W kuchni lodówka , mikrofalówka oraz kuchenka z piekarnikiem, pralka.  Pokoje w pełni umeblowane - łózko, szafa, regał, komoda , szafka, biurko, krzesło, wszystko co potrzebne aby wygodnie mieszkać.Kuchnia wyposażona w komplet naczyń i sztućców, dla wszystkichmieszkańców. Mieszkanie wyposażone w deskę do prasowania, żelazko, suszarkę doubrań, odkurzacz i inne przedmioty do utrzymywania porządku.Wszystko aby wygodnie zamieszkać.Internet w cenie. Ogrzewanie miejskie. Kaucja zwrotna 930zł, umowa na rok do końca września. Zainteresowanych serdecznie zapraszam do kontaktu i oglądaniapokoju! Naprawdę warto. Zdjęcia przed sprzątaniem, jutro dodam lepsze :)Michał, tel. 791 717 993",720,Właściciel,Współdzielenie mieszkania/domu,87,5 pokoi,Mieszkanie,Bez preferencji,Nie,Nie,303
"Kraków, Małopolskie","Super lokalizacja: ul. M. Reja 12, Kraków - Żabiniec (centrum - tyły Uniwersytetu Rolniczego! Okolica al. 29. listopada)Do wynajęcia miejsce w pokoju dwuosobowym! Bez pośredników.Pokój 2. osobowy w cenie 410 zł +170 zł media (= 580zł za osobę, stała stawka niezależna od zużycia, łącznie z internetem). W tej chwili szukamy dziewczyny do tego pokoju, właśnie zamieszkała tamkoleżanka 19 lat, rozpoczynająca studia i pracę, ułożona.Pokój dwuosobowy (14 m2) w czteropokojowym mieszkaniu (bez właścicieli) o powierzchni 58 m2 w bardzo dobrze skomunikowanej lokalizacji.Mieszkanie na 4 piętrze w świeżym bloku w bardzo dobrym stanie technicznym.Mieszkanie zamieszkiwać będzie 5 osób w czterech pokojach (każdy pokój zamykany na klucz), składa się z czterech pokoi, przedpokoju, kuchni, łazienki z WC i garderoby.Bardzo dobrze skomunikowane miejsce, bardzo dużo linii autobusowych zaraz obok mieszkania i niedaleka odległość do tramwai:Przystanki autobusowe, linie:105, 115, 138, 139, 154, 164, 169, 172, 217, 247, 257, 277, 280, 503, 572, 610, 669Tramwaje: 3, 5, 18, 50, 69Rewelacyjne miejsce dla pracujących czy studentów UR, Politechniki, AGH i UJ: Nowe biurowce Orlen - spacerkiem kilka minut. Uniwersytet Rolniczy (10 min. spacerem) Politechnika Krakowska – 2 przystanki (20 min.) WSEI - 6 przystanków (20 min.) AGH, UJ - 6 przystanków (20 min.)Oczywiście tuż obok sklepy spożywcze, pizzeria, restauracje, bezpośrednie sąsiedztwo parku .. po prostu świetna lokalizacja z bardzo dobrze rozwiniętą infrastrukturą.Mieszkanie świeżo po remoncie : czyste, ciepłe, umeblowane. Bardzo jasne!W kuchni lodówka , mikrofalówka oraz kuchenka z piekarnikiem.Świeża łazienka z WC, wygodna wanna z prysznicem.Pokoje w pełni umeblowane - łózko, szafa, regał, komoda, szafka, biurko, krzesło, wszystko co potrzebne aby wygodnie mieszkać.Kuchnia wyposażona w komplet naczyń i sztućców, dla wszystkich mieszkańców. Mieszkanie wyposażone w deskę do prasowania, żelazko, suszarki do ubrań, odkurzacz, mop i inne przedmioty do utrzymywania porządku.Internet w cenie, kablówka, WIFI. Ogrzewanie miejskie. Umowa od października na rok do końca sierpnia 2017. (można potem przedłużyć).Kaucja 630zł/os, zwrotna oczywiście. Pokój może tez być cały dla pary lub 2 koleżanek w razie zainteresowania.Zainteresowanych serdecznie zapraszam do kontaktu i oglądania pokoju! Naprawdę warto.Kontakt: Michał, tel. 791 717 993",410,Właściciel,Współdzielenie pokoju,58,4 pokoje,Mieszkanie,Bez preferencji,Nie,Nie,326
"Kraków, Małopolskie","Wynajmę w centrum Krakowa pokój dla 1 lub dwóch osób studiujących w bardzo dogodnej okolicy  blisko uczelni przy parku Krakowskim na 1 p kamienicy  z centralnym ogrzewaniem , pokój w pełni umeblowany łazienka i kuchnia wyposażona można umówić się na spotkanie w celu obejrzenia pokoju.Cena wraz ze wszystkimi opłatami Prąd C.O, wynosi 650 zł >prosze o kontakt tel pod nr 794-560-215 pozdrawiam.",650,Właściciel,Współdzielenie mieszkania/domu,36,Kawalerka lub garsoniera,Mieszkanie,Bez preferencji,Nie,Tak,63
Mokotów,"Do wynajęcia od 1 listopada nieprzechodni pokój jednoosobowy w mieszkaniu dwupokojowym (+łazienka i oddzielna kuchnia) o powierzchni 56 m2Mieszkanie znajduje się przy ul. Stępińskiej na Mokotowie. 5 min pieszo do przystanku Dolna, 15 min do Centrum. Blisko Biedronka, Rossman, apteka i Łazienki Królewskie. Spokojna okolica.Mieszkanie w pełni umeblowane: pralka, duża lodówka, kuchenka z piekarnikiem, zmywarka, odkurzacz.Czynsz 930 zł plus media. Pokój przytulny, wyposażony w nowe łóżko, pojemną szafę, komodę i dywan. Pozostałe meble widoczne na zdjęciu należą do obecnej lokatorki. Coś o mnie: jestem młodą pracującą kobietą wynajmującą drugi pokój. Szukam osoby w podobnym wieku (20-35 lat) ceniącej sobie spokój i porządek. Preferowana płeć - Kobieta.Proszę o kontakt tel. 609 074 214 Wiola",930,Właściciel,Współdzielenie mieszkania/domu,12,2 pokoje,Mieszkanie,Kobieta,Nie,Nie,113
Mokotów,"WYNAJMĘ: (od zaraz)Nieprzechodni pokój ok. 10, 5 m^2 w mieszkaniu 2 pokojowym.Mokotów, ul. Balladyny 5, parter, 12 min pieszo do metra racławicka, 2 min do Szpitala MSW/Wołoska.W pokoju łózko 2 osobowe, duża szafa, możliwe, ale niepewne, że biurko. Mieszkanie 48m^2, kuchnia i łazienka w pełni wyposażona, własne ogrodzone podwórko.W 2 pokoju mieszkam ja, 36 lat, pracuję, nie przeszkadzam, lubię spokój, na weekendy wyjeżdżam. Oferta również dla studentów.Cena:800 zł ( w tym rachunki i internet tj. wszystko).Miesięczny okres wypowiedzenia, kaucja w wysokości 1 czynszu.Po więcej informacji proszę pisać/dzwonić (mogę być w pracy 8-16, więc w tych godzinach najlepiej sms) 667-020-205 Tomek.Proszę nie kontaktować się mailowo, rzadko tam zaglądam.",800,Właściciel,Współdzielenie mieszkania/domu,11,Nie podano,Mieszkanie,Bez preferencji,Nie,Nie,116
Mokotów,"Poszukujemy osoby do wolnego, dużego pokoju. Mieszkanie jest położone vis a vis Łazienek Królewskich (widok centralnie na Łazienki), poddasze 3 piętrowej, odrestaurowanej kamienicy. Pokój 15m2, prostokątny, duży. Umeblowanie Ikea: sofa 2os. rozkładana, stolik kawowy z krzesłem, szafa, mała komoda (3 szuflady), biurko z krzesłem, drugi stolik, nowe łóżko 1 osobowe. 
Koszt wynajmu z pełnymi mediami to 1100 zł [1000 zł najem pokoju, 50 zł media (prąd), 50 zł Internet (60 Mb/s)].
Kaucja zwrotna za pokój: 1000 zł.
Pokój wolny od 15.10.2016.
Oferta skierowana do osoby pracującej, poszukującej pięknej i wygodnej lokalizacji do zamieszkania w Warszawie na dolnym Mokotowie, ceniącej sobie spokój, bliskość komunikacji miejskiej, sklepów, terenów do spacerów, biegania... Preferowana płeć - kobieta. Zachęcam do osobistego obejrzenia!
Z uwagi na bardzo duże zainteresowanie wynajmem w tej lokalizacji, proszę o konkretne zgłoszenia.
Bezpośrednio, tel. (9:00-23:00): 663 66 11 72. Agencjom dziękujemy.",1100,Nie podano,Współdzielenie mieszkania/domu,15,2 pokoje,Inne,Kobieta,Nie,Nie,143
Mokotów,"Hej, mamy wolne miejsce w przytulnym
dwuosobowym pokoju na MOKOTOWIE przy ul.Belwederskiej róg z Chełmską.
Opłata to 650 zł /m-c plus opłaty licznikowe za energię i wodę. INTERNET
jest GRATIS!!! Mieszkanie składa się z 4 pokoi i 2 łazienek. Jest fajnie
umeblowane - nowe mebelki z Ikei i wyposażone w sprzęty AGD. W pokoju są dwa
łóżka, duża szafa, komoda oraz biurko z fotelem. Szukamy miłej współlokatorki :-)
Bez właściciela!!! Fajne miejsce, do Centrum max 10 min komunikacją miejską i 5
min spacerkiem do Łazienek:-) W pobliżu Biedronka, Rossman, stacja paliw, sklepy spożywcze, poczta. Dojechać można autobusami: 116, 195, 166, 519, 422, 503, 501- Belwederska róg z Chełmską. Dzwońcie po 17:-) 

Beata 600 210 802",650,Właściciel,Współdzielenie pokoju,75,4 pokoje,Mieszkanie,Kobieta,Nie,Nie,114
Mokotów,"schludny jednoosobowy pokój ( ok 10m2)do wynajęcia blisko Galerii Mokotów, kampusu Uniwersytetu Warszawskiego.Mieszkanie współdzielone z właścicielką.Dobra komunikacja, pod blokiem przystanek autobusowy (3 przystanki do Metra)Ogłoszenie grzecznościowe, proszę o kontakt wyłącznie telefoniczny 22 857 44 01",650,Właściciel,Współdzielenie mieszkania/domu,50,3 pokoje,Mieszkanie,Bez preferencji,Nie,Tak,36
Mokotów,"Witam

Wynajmę na 6 miesięcy (listopad-kwiecień) jednoosobowy, nieprzechodni  pokój około 10 m2 w dwupokojowym
mieszkaniu na II piętrze (50 m2) bez właściciela. Pokój jest w pełni
umeblowany tj. łóżko, szafka nocna, biurko, fotel, szafa, regał, półki. 

Mieszkanie jest w wyposażone w sprzęty AGD: lodówka, pralka, zmywarka, kuchenka gazowa z piekarnikiem, czajnik elektryczny, mikrofalówka, żelazko. 

Lokalizacja: Mokotów, ul. Etiudy Rewolucyjnej. Bardzo dobry dojazd
do Centrum  - 15 min tramwajem; 3
przystanki autobusowe do Metra Racławicka, 3 min do przystanku autobusowego
(linie 136, 141, 172). Niedaleko budynku znajduje się Galeria Mokotów, Carrefour, Biedronka, apteka.

Drugi pokój zajmują dwie spokojne, studiujące dziewczyny.

Cena najmu to 800 zł w tym wliczone opłaty licznikowe i
Internet. Kaucja wynosi 800 zł.

Zainteresowane osoby proszę o kontakt telefoniczny
509 847 275 Ola.",800,Właściciel,Współdzielenie mieszkania/domu,50,2 pokoje,Mieszkanie,Kobieta,Nie,Nie,125
Praga Południe,"Oferuję pokój nieprzechodni w mieszkaniu trzypokojowym, do wynajęcia na 1 miesiąc. Pokój ma około 10 m2, znajduje się w nim rozkładane łóżko, biurko i szafa. W mieszkaniu wszystkie potrzebne sprzęty ( zmywarka, pralka, odkurzacz, mikrofalówka). W dwóch pozostałych pokojach mieszkają dwie osoby w wieku 25-30 lat, pracujące. Mieszkanie jest duże, położone w przyjemnej i dobrze skomunikowanej okolicy. Przystanki autobusowe w odległości Zapraszam do kontaktu (formularz kontaktowy), w razie potrzeby wyślę zdjęcia pokoju/mieszkania.Marta",800,Właściciel,Współdzielenie mieszkania/domu,10,3 pokoje,Mieszkanie,Bez preferencji,Tak,Tak,73
Praga Południe,Do pokoju w mieszkaniu dwupokojowym na Saskiej Kępie (55m2) przy ul Międzynarodowej poszukujemy współlokatora. Koszt 800 zł  Tel. 510 568 671 lub 724 102 181 po godz. 18,800,Właściciel,Współdzielenie mieszkania/domu,55,2 pokoje,Mieszkanie,Bez preferencji,Nie,Tak,28
Praga Południe,pokój dla kobiety w mieszkaniu samodzielnym bez właściciela z dwoma współlokatorkami opłaty + media,500,Właściciel,Współdzielenie mieszkania/domu,8,3 pokoje,Mieszkanie,Kobieta,Tak,Tak,13
Śródmieście,"Women only!Wynajmę spokojnej studentce pokój w samym centrum Warszawy - róg ul. Grzybowskiej i Al. Jana Pawła II. W pokoju na wyposażeniu znajdują się: wersalka 1-os. komoda, biurko, stolik nocny z lampką, regał, półki na książki i niewielka szafka.Świetny dojazd w każde miejsce miasta:
- autobusy (przystanki Plac Grzybowski, Al. Jana Pawła II)- tramwaje (Rondo ONZ i Hala Mirowska)- metro (Rondo ONZ - ok. 60 m i Świętokrzyska - ok 300 m)Cena najmu to 1100 zł plus opłaty: 20 zł Internet oraz media do podziału według liczników (woda, prąd, gaz).W sąsiednim pokoju mieszka studentka studiów magisterskich na UW.",1100,Właściciel,Współdzielenie mieszkania/domu,48,3 pokoje,Mieszkanie,Kobieta,Nie,Nie,98
Śródmieście,"Wynajmę: pokój ok. 14 m2Gdzie: ul. Emilii Plater, naprzeciwko Pałacu KulturyCena: 950 zł (bez dodatkowych opłat, cena zawiera internet)Lokatorzy: w pokoju obok mieszka młody studentOd kiedy: od zarazMam bardzo atrakcyjną ofertę.Pokój do wynajęcia w samym centrum Warszawy, przy ul. Emilii Plater, naprzeciwko Pałacu Kultury. Pokój jest umeblowany, zaopatrzony m.in. w łóżko, dużą szafę, biurko. Mieszkanie jest 2-pokojowe. Znajdują się w nim kuchnia i łazienka, wyposażone we wszystkie potrzebne, nowe sprzęty. Cena już ze wszystkimi opłatami to 950 zł. W cenę wliczony jest również internet!Oferta dla studentek i studentów lub młodych osób! Drugi pokój również jest zamieszkiwany przez studenta.Polecam! Więcej informacji: kontakt tel. 726 118 826 - Michał",950,Nie podano,Współdzielenie mieszkania/domu,14,2 pokoje,Mieszkanie,Bez preferencji,Tak,Tak,109
Śródmieście,"Wynajmę pokój 22m2 na Starym Mieście 1200 zł. w raz z opłatami / TV, internet, prąd, gaz/, drugi pokój zamieszkały przez mężczyznę. Mieszkanie kompletnie wyposażone, 3 pietro; ciche, okna wychodzą na podwórko",1200,Właściciel,Współdzielenie mieszkania/domu,75,2 pokoje,Mieszkanie,Bez preferencji,Nie,Nie,31
Targówek,"Zapraszamy do naszych kwater pracowniczych , polozonej blisko skrzyżowania MŁODZIEŃCZA     -RADZYMIŃSKA .
Oferujemy pokoje trzy oraz pięcio osobowe.
Pokoje są wyposarzone w :
- Łóżka 
- Pościel
- Telewizory
- Szafy
- Stoliki
Do wspólnego wykorzystania:
- Kuchnia (lodówka, mikrofalówka, kuchenka gazowa 
- Darmowy dostęp do sieci Wi-Fi
- Pralnia
- Darmowy parking
- Miejsce na grill-a
(Obiekt Monitorowany)

Cena za :
- Doba 16
- Miesiąc 500
Ceny roznia sie w zaleznosci od  dlugosci pobytu od 16 zl do 30 pln  
Kaucja za kluczyk 50 pln , kaucja jest zwrotna",16,Właściciel,Współdzielenie pokoju,450,4 pokoje,Dom,Bez preferencji,Nie,Nie,76
Ursus,"pokój słoneczny , częściowo umeblowane , wspólna łazienka, kuchnia",900,Właściciel,Współdzielenie mieszkania/domu,41,2 pokoje,Mieszkanie,Mężczyzna,Nie,Nie,7
Ursynów,"Wynajmę pokój z ANEKSEM kuchennym DLA DZIEWCZYNY. Mieszkanie jest w pełni wyposażone: lodówka, pralka, piekarnik, odkurzacz, żelazko, sokowirówka i inne sprzęty AGD, RTV. W oferowanym pokoju znajduję się również telewizor i wieża.  Pokój jest bardzo ładny, duży, zadbany i nowoczesny  z dostepem do balkonu. Mieszkanie zlokalizowane jest 3 minuty piechotą od stacji metra Natolin. Na Pole mokotowskie dojeżdża się w 15 minut, a do centrum w 20. W bezpośredniej bliskości znajduje się żabka, biedronka, siłownie, apteka, fryzjer, kawiarnie, restauracje, bazarek ze zdrową żywnością (tuż pod blokiem) i inne dogodności. Okolica jest piękna, a infrastruktura sprzyja uprawianiu sportu. 
Dziewczyna, z którą chciałabym zamieszkać powinna być towarzyska i bardzo pozytywna. 


Na 4 zdjęciu znajduję się pokój do wynajęcia. 


Polecam i zachęcam do przyjrzenia się ofercie!",900,Właściciel,Współdzielenie mieszkania/domu,38,2 pokoje,Mieszkanie,Kobieta,Tak,Nie,123
Wawer,"W nowym, estetycznym, nowoczesnym hostelu oferują łóżka.Pokoje dla 4 i 6 osób.Zapraszamy gości miasta, podróżujących w interesach, jak i studentów. Oddzielne pokoje męskie i żeńskie.Miesiąc = 495 złtydzień = 149 zł.dzień = 24, 9 zł.W CENIE NOCLEGU :-pościel-bespłatny dostęp do sieci WI-FI-wypożyczenie suszarki do włosów oraz żelazka i deski do prasowaniaw pelni wyposazona kuchnia: lodowka, mikrofalowka, kuchenka, czajnik elektryczny, garnki, talerzy, widelca i łyżki, kubki-kawa i herbata-centralne ogrzewanie-zlecenie prania(10zł)Hostel Lubelskiul.Trakt Lubelski 347C515066290",495,Właściciel,Współdzielenie pokoju,120,6 lub więcej pokoi,Dom,Bez preferencji,Tak,Tak,77
Wilanów,"Mam do zaoferowania PRZESTRONNY pokój umeblowany.
Kuchnia bogato wyposażona, duża łazienka, loggia, pomieszczenie gospodarcze np na rowery itp

Czynsz 1250 Plus prąd ok 50 zł

Zdjęcie prześle na maila lub zapraszam na oglądanie.

Kaucja miesięczny czynsz.

Zapraszam zainteresowane osoby.

Pozdrawiam",1250,Właściciel,Współdzielenie mieszkania/domu,100,3 pokoje,Mieszkanie,Bez preferencji,Nie,Nie,40
Wola,"Do wynajęcia jasny, ciepły, zamykany na klucz pokój w komfortowym mieszkaniu na strzeżonym, spokojnym osiedlu - ul. Radziwie. Całe mieszkanie w pełni wyposażone.W mieszkaniu są dwie łazienki z prysznicami i pralką.Bardzo dobra lokalizacja i komunikacja.Cena 1100 zł plus ryczałt na media 120 złKaucja 1000 złProszę dzwonić: 602-244-744",1100,Właściciel,Współdzielenie mieszkania/domu,80,4 pokoje,Mieszkanie,Bez preferencji,Nie,Nie,48
Białołęka,"Хостел для рабочих Покои 2 , 3 , 4 , 5 , особовы хорошие варки проживания две ванных комнаты , кухня со всем необходимым.находимся Белоленька ул.гладил. засиление до 20-00",380,Właściciel,Współdzielenie pokoju,100,6 lub więcej pokoi,Dom,Bez preferencji,Nie,Nie,25
Bielany,"Blok 200 metrów od wejścia do metra! Wysoki standard!Duży, umeblowany pokój ok. 12m2 w 4 pokojowym mieszkaniu bez właściciela przy ul. Dantego 7.W pozostałych pokojach mieszkają młode osoby - studenci i osoby pracujące.Cena: 1100 PLN/ miesiąc + 50zł zaliczka na media (woda, ogrzewanie). Internet wifi w cenie. Kaucja 1 miesiąc.",1100,Właściciel,Współdzielenie mieszkania/domu,12,4 pokoje,Mieszkanie,Bez preferencji,Nie,Nie,50
"Kraków, Małopolskie",Witam !Mam do wynajęcia pokój w dużym przestronnym mieszkaniu.Pokój bardzo duży 26 m2 z wyjściem na prywatny do mieszkania taras 30m2Zapraszam do oglądania zdjęć i wynajmu.Mieszkanie posiada w pełni wyposażoną kuchnię oraz dwie łazienki.Zapraszam do oglądania !Koszt:1000 pln plus opłaty (ok 110 pln),1000,Właściciel,Współdzielenie mieszkania/domu,80,3 pokoje,Mieszkanie,Bez preferencji,Nie,Tak,44
"Kraków, Małopolskie","Witam :) Posiadam do wynajęcia bardzo ładny, jasny  pokój o powierzchni 11 m2 w mieszkaniu 2 pokojowym przy ul. Myśliwskiej, w bloku oddanym do użytku w 2013 roku. Mieszkanie jest nowe i  kompletnie urządzone - kuchnia wraz ze wszystkimi sprzetami (lodówka, mikrofalowka, czajnik, pralka, płyta indukcyjna), na wyposażeniu również  naczynia, garnki itd. Pokój umeblowany(lozko, wbudowana szafa, stolik, tv).  Istnieje możlwiość zaaranżowania pokoju według potrzeb.  W drugim pokoju mieszka pracująca para. Osiedle  ogrodzone, chronione i monitorowane.Zaletą tej lokalizacji jest bardzo  dobra komunikacja – dzięki linii szybkiego tramwaju dojazd do centrum  Krakowa zajmuje kilkanaście minut. Nie bez znaczenia jest doskonały wylot  na autostradę A4 (ok 4 min). Bardzo dobra komunikacja miejska z innymi  częściami miasta 500 m do pętli tramwajowej(linie nr: 20 i 11) i  autobusowej (linie nr: 123, 125, 158, 185, 221 i 605).W pobliżu znajduja sie sklepy: Żabka, Biedronka, Lewiatan, Lidl. Mieszkanie usytuowane w  niedalekiej odległości od M1, Galerii Kazimierz, Akademii Krakowskiej  oraz Rybitw. W sąsiedztwie rownież stacja benzynowa, myjnia, poczta, szkoła, przedszkole. Oferta  dla jednej osoby. Dodatkowo platny rachunek za prad raz na dwa miesiace, dzielony na wszystkich wynajmujacych. Bliższych informacji udzielam pod numerem 515133224. Zapraszam do kontaktu !",700,Właściciel,Współdzielenie mieszkania/domu,50,2 pokoje,Mieszkanie,Bez preferencji,Nie,Nie,189
"Kraków, Małopolskie","Mieszkanie na 1 piętrze ( 131 m2 ), 2 samodzielne pokoje dwuosobowe ( od południa ) + 2 pokoje od północy w tym jeden przechodni łącznie na 3 osoby ( powierzchnia ok. 20 m2 każdy ), kuchnia z balkonem, 2 łazienki z WC, przedpokój. Mieszkanie znajduje się na ul. Sereno Fenn'a, 5 min. piechotą do Rynku Głównego, w pobliżu wszystkie większe uczelnie, Dworzec Główny PKP i PKS. Wyposażenie: - pokoje od południa: 2 tapczany, segment, 2 biurka, komoda, regał- pokoje od północy:- ostatni pokój ( sypialnia ): 3 tapczany, 3 komody- pokój przejściowy: 3 regały, 3 biurka, 3 szafy dwu-drzwiowe- kuchnia: pralka, lodówka, płyta elektryczna, czajnik bezprzewodowy, mikrofalówka- łazienki: umywalka, wc, kabina prysznicowa, lustro. W jednej piec CO i bojler elektrycznyOpłaty: 550 zł/os + media ( gaz, woda, śmieci, prąd )Możliwość wynajęcia całego pokoju - koszt 1100 zł + media.Internet w cenie mieszkania Mieszkanie po remoncie. Ogrzewanie gazowe.Nowe drewaniane okna. Brak opłat wakacyjnych Umowa na czas określony, wymagana kaucja w wysokości jednomiesięcznego czynszu.DLA NIEPALĄCYCH!!! Posiadamy też inne mieszkania do wynajmu",550,Właściciel,Współdzielenie mieszkania/domu,131,4 pokoje,Mieszkanie,Kobieta,Nie,Nie,158
"Kraków, Małopolskie","Witam. Do wynajęcia duży  pokój jednoosobowy w ścisłym Centrum Krakowa. Mieszkanie na 3 piętrze, dwupokojowe, ogrzewanie elektryczne. Na miejscu łazienka, wyposażona kuchnia, dostęp do internetu w cenie.
Pokój 24 m , cicha spokojna kamienica.
Tel. 697 372 607",800,Właściciel,Współdzielenie mieszkania/domu,24,2 pokoje,Mieszkanie,Bez preferencji,Nie,Nie,37
"Kraków, Małopolskie","do wynajęcia pokój jednoosobowy dla dziewczyny niepalącej pracującej lub uczącej się w Krakowie osiedle 1000 lecia czynsz 600 zł łącznie  , w mieszkaniu mieszka dwie osoby w tym właścicielka oraz piesek",600,Właściciel,Współdzielenie mieszkania/domu,48,3 pokoje,Mieszkanie,Kobieta,Nie,Tak,30
